longitud_url,caracteres_especiales,uso_subdominios,verificar_https,similitud_url_legitimas,palabras_clave_sospechosas,ip_en_lugar_de_dominio,url_acortada,puerto_no_estandar,terminos_seguridad_falsos,profundidad_url,archivo_descargable_sospechoso,parametros_sensibles_url,entropia_url,status_binario
76,12,2,0,[0.18257419],0,0,False,0,False,7,False,0,4.196775257532113,1
38,8,2,0,[0.47140452],0,0,True,0,False,2,False,0,4.366091329119192,1
83,14,3,0,[0.16666667],0,0,False,0,False,5,False,0,4.31204815746638,1
49,8,3,0,[0.21821789],0,0,False,0,False,3,False,0,4.063362651645749,0
32,7,3,0,[0.51639778],0,0,False,0,False,2,False,0,3.9917292966721747,1
131,19,8,0,[0.28867513],0,0,False,0,False,1,False,0,4.8895225275818435,1
35,7,3,0,[0.25819889],0,0,False,0,False,2,False,0,3.797020431713803,1
17,5,2,1,[0.],0,0,False,0,False,1,False,0,3.337175341123077,1
64,10,3,1,[0.19245009],0,0,False,0,False,2,False,0,4.140069336880353,0
29,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,4.021268494903766,0
44,8,3,1,[0.],0,0,False,0,False,2,False,0,4.044912733238945,0
47,10,5,1,[0.21821789],0,0,True,0,False,1,False,0,4.187255606858693,1
31,5,3,0,[0.28867513],0,0,False,0,False,0,False,0,4.106949132758152,1
59,11,3,0,[0.38490018],0,0,False,0,False,2,False,0,3.9639928887510285,0
29,5,3,0,[0.57735027],0,0,False,0,False,0,False,0,3.866433150225384,1
23,5,2,1,[0.],0,0,False,0,False,1,False,0,3.9690016298759936,0
28,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.940759832540089,0
43,8,3,1,[0.21821789],0,0,True,0,False,1,False,0,4.280120277605719,0
76,10,3,0,[0.38490018],0,0,False,0,False,1,False,0,4.602208270588781,0
20,5,2,0,[0.33333333],0,0,False,0,False,1,False,0,3.6464393446710153,1
28,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.9946803684089085,1
25,6,3,0,[0.28867513],0,0,False,0,False,1,False,0,3.7230741894285684,0
21,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.6537567082870006,0
47,8,3,1,[0.],0,0,False,0,False,2,False,0,4.266730872678044,1
77,7,2,0,[0.47140452],0,0,False,0,False,3,False,0,4.664731392171638,1
19,5,3,0,[0.28867513],0,0,False,0,False,0,False,0,3.7216117239699,0
52,10,3,1,[0.19245009],0,0,True,0,False,3,False,0,4.28648226746166,0
26,5,3,0,[0.57735027],0,0,True,0,False,0,False,0,3.748328660365574,1
93,13,2,0,[0.14433757],0,0,False,0,False,5,False,0,4.316574774953136,1
29,6,3,1,[0.28867513],0,0,False,0,False,1,False,0,3.745406425938248,0
35,10,3,0,[0.25819889],0,0,False,0,False,3,False,0,3.918867931899243,1
